tpr,fpr,,
0.741708333,5.00E-05,,3.407058661
0.802541667,0.000166667,4.04E-01,
0.831070833,0.000279167,1.83E-01,
0.848091667,0.000375,1.08E-01,
0.858870833,0.000466667,8.11E-02,
0.866691667,0.000554167,6.44E-02,
0.872833333,0.000658333,6.51E-02,
0.877983333,0.000754167,5.17E-02,
0.882545833,0.000808333,2.65E-02,
0.886516667,0.000929167,5.35E-02,
0.890054167,0.001004167,2.99E-02,
0.893191667,0.001058333,2.03E-02,
0.896108333,0.001133333,2.66E-02,
0.898566667,0.001208333,2.50E-02,
0.901008333,0.0012875,2.48E-02,
0.9031,0.001358333,2.10E-02,
0.905066667,0.001416667,1.65E-02,
0.906829167,0.001470833,1.48E-02,
0.908804167,0.001508333,9.93E-03,
0.910695833,0.001591667,2.12E-02,
0.91215,0.0016625,1.72E-02,
0.913425,0.0017125,1.17E-02,
0.914783333,0.001766667,1.24E-02,
0.9160625,0.001833333,1.47E-02,
0.917220833,0.001875,8.95E-03,
0.918366667,0.0019375,1.31E-02,
0.9194375,0.001970833,6.81E-03,
0.920379167,0.002033333,1.25E-02,
0.921458333,0.002079167,8.92E-03,
0.922454167,0.002116667,7.16E-03,
0.9232,0.0021625,8.59E-03,
0.923995833,0.0022125,9.17E-03,
0.924875,0.0022625,8.97E-03,
0.925720833,0.002308333,8.06E-03,
0.926604167,0.002358333,8.62E-03,
0.9274125,0.0024,7.05E-03,
0.928141667,0.002458333,9.68E-03,
0.928858333,0.0025375,1.28E-02,
0.9295625,0.002591667,8.52E-03,
0.930179167,0.002629167,5.80E-03,
0.930795833,0.002683333,8.24E-03,
0.9315,0.0027625,1.18E-02,
0.932204167,0.0028,5.46E-03,
0.9328375,0.002825,3.60E-03,
0.933483333,0.002875,7.11E-03,
0.934066667,0.002904167,4.09E-03,
0.934683333,0.00295,6.35E-03,
0.935208333,0.0029875,5.13E-03,
0.935791667,0.003029167,5.63E-03,
0.936308333,0.003095833,8.85E-03,
0.936804167,0.0031625,8.67E-03,
0.9373,0.003220833,7.44E-03,
0.937791667,0.00325,3.67E-03,
0.938304167,0.003279167,3.64E-03,
0.9388,0.003325,5.66E-03,
0.939266667,0.003379167,6.59E-03,
0.939666667,0.003408333,3.51E-03,
0.940120833,0.003470833,7.42E-03,
0.940525,0.0035375,7.77E-03,
0.940983333,0.003570833,3.83E-03,
0.9413125,0.003608333,4.27E-03,
0.941708333,0.003683333,8.41E-03,
0.942070833,0.0037375,5.97E-03,
0.942433333,0.003795833,6.34E-03,
0.942875,0.003841667,4.91E-03,
0.943270833,0.003895833,5.73E-03,
0.943633333,0.0039375,4.36E-03,
0.943966667,0.003979167,4.31E-03,
0.9443625,0.004041667,6.39E-03,
0.944620833,0.004075,3.37E-03,
0.944916667,0.004129167,5.42E-03,
0.945220833,0.004154167,2.48E-03,
0.945475,0.004183333,2.87E-03,
0.945808333,0.004241667,5.69E-03,
0.9461375,0.004283333,4.02E-03,
0.946433333,0.004325,3.98E-03,
0.946704167,0.004354167,2.76E-03,
0.946958333,0.004425,6.64E-03,
0.947233333,0.004504167,7.29E-03,
0.947520833,0.004554167,4.54E-03,
0.947775,0.0046,4.12E-03,
0.948016667,0.004654167,4.82E-03,
0.948225,0.004695833,3.67E-03,
0.948470833,0.004745833,4.36E-03,
0.948733333,0.0048,4.68E-03,
0.949016667,0.00485,4.27E-03,
0.949279167,0.004883333,2.82E-03,
0.949558333,0.00495,5.59E-03,
0.949766667,0.005004167,4.49E-03,
0.95005,0.005041667,3.08E-03,
0.950329167,0.0050625,1.70E-03,
0.950591667,0.005133333,5.74E-03,
0.9507875,0.005170833,3.01E-03,
0.951,0.005208333,2.98E-03,
0.9512375,0.005245833,2.96E-03,
0.951454167,0.005275,2.29E-03,
0.951641667,0.005308333,2.60E-03,
0.951858333,0.005375,5.16E-03,
0.952091667,0.005433333,4.46E-03,
0.9522875,0.005466667,2.53E-03,
0.95245,0.0055,2.51E-03,
0.9526625,0.005525,1.88E-03,
0.952895833,0.005554167,2.18E-03,
0.953066667,0.005608333,4.02E-03,
0.95325,0.005633333,1.84E-03,
0.953495833,0.005683333,3.66E-03,
0.953716667,0.0057375,3.93E-03,
0.9538875,0.005804167,4.79E-03,
0.9540625,0.005841667,2.67E-03,
0.954308333,0.005891667,3.53E-03,
0.954516667,0.005954167,4.37E-03,
0.9547,0.0059875,2.31E-03,
0.954879167,0.006033333,3.16E-03,
0.9550375,0.006079167,3.14E-03,
0.95525,0.006129167,3.40E-03,
0.9554625,0.006195833,4.49E-03,
0.955645833,0.006233333,2.50E-03,
0.955825,0.0062625,1.94E-03,
0.9560125,0.006304167,2.75E-03,
0.9561875,0.006354167,3.28E-03,
0.956316667,0.0064,2.98E-03,
0.956504167,0.006475,4.84E-03,
0.956679167,0.006516667,2.66E-03,
0.956870833,0.006566667,3.18E-03,
0.95705,0.006604167,2.37E-03,
0.957166667,0.0066375,2.09E-03,
0.957341667,0.006670833,2.08E-03,
0.9575,0.006691667,1.30E-03,
0.9576375,0.006729167,2.32E-03,
0.957770833,0.006779167,3.08E-03,
0.957920833,0.006816667,2.29E-03,
0.958054167,0.006845833,1.78E-03,
0.958225,0.0068875,2.52E-03,
0.958329167,0.006925,2.26E-03,
0.958483333,0.007,4.48E-03,
0.958591667,0.0070375,2.22E-03,
0.9587625,0.0070625,1.48E-03,
0.9589,0.007108333,2.69E-03,
0.959041667,0.007158333,2.92E-03,
0.959175,0.007208333,2.90E-03,
0.959295833,0.00725,2.40E-03,
0.959420833,0.007295833,2.63E-03,
0.9595875,0.007341667,2.61E-03,
0.959729167,0.007375,1.89E-03,
0.959875,0.007425,2.82E-03,
0.960029167,0.007470833,2.57E-03,
0.960133333,0.007533333,3.47E-03,
0.9602875,0.007570833,2.07E-03,
0.960445833,0.007625,2.97E-03,
0.960541667,0.0076625,2.05E-03,
0.9606375,0.007729167,3.61E-03,
0.960779167,0.0077625,1.80E-03,
0.960933333,0.007795833,1.79E-03,
0.961083333,0.007829167,1.78E-03,
0.9612375,0.0078875,3.10E-03,
0.961395833,0.007916667,1.54E-03,
0.9615,0.007970833,2.85E-03,
0.961616667,0.008008333,1.96E-03,
0.9617125,0.008058333,2.60E-03,
0.961791667,0.008083333,1.29E-03,
0.961916667,0.008125,2.15E-03,
0.962058333,0.0081625,1.92E-03,
0.962154167,0.0082,1.92E-03,
0.962270833,0.0082375,1.91E-03,
0.962370833,0.008275,1.90E-03,
0.962483333,0.0083375,3.15E-03,
0.962595833,0.0083625,1.25E-03,
0.962683333,0.008404167,2.08E-03,
0.962845833,0.0084375,1.66E-03,
0.962941667,0.008483333,2.27E-03,
0.963079167,0.008533333,2.46E-03,
0.963175,0.008575,2.04E-03,
0.963316667,0.00865,3.64E-03,
0.963420833,0.008695833,2.21E-03,
0.963558333,0.008720833,1.20E-03,
0.963666667,0.0087625,1.99E-03,
0.963770833,0.0088125,2.38E-03,
0.963879167,0.00885,1.78E-03,
0.963983333,0.0088875,1.77E-03,
0.964116667,0.008933333,2.15E-03,
0.9642375,0.0089875,2.53E-03,
0.964329167,0.009058333,3.29E-03,
0.9644375,0.009120833,2.88E-03,
0.964583333,0.009170833,2.29E-03,
0.964675,0.009233333,2.85E-03,
0.9648125,0.009279167,2.07E-03,
0.9649,0.0093125,1.50E-03,
0.965004167,0.0093625,2.24E-03,
0.965145833,0.009395833,1.49E-03,
0.965220833,0.009445833,2.22E-03,
0.965345833,0.009466667,9.24E-04,
0.965470833,0.0094875,9.22E-04,
0.965625,0.00955,2.75E-03,
0.965745833,0.0096,2.19E-03,
0.9658375,0.009641667,1.82E-03,
0.9659625,0.009675,1.45E-03,
0.966079167,0.009704167,1.26E-03,
0.966191667,0.009745833,1.80E-03,
0.9663,0.009779167,1.43E-03,
0.9664125,0.009820833,1.78E-03,
0.9665125,0.00985,1.24E-03,
0.966625,0.0099,2.13E-03,
0.966716667,0.00995,2.11E-03,
0.966808333,0.01,2.10E-03,
0.966925,0.010045833,1.92E-03,
0.967,0.010104167,2.43E-03,
0.9670625,0.010145833,1.73E-03,
0.967158333,0.010191667,1.89E-03,
0.967279167,0.010241667,2.06E-03,
0.9673625,0.010283333,1.71E-03,
0.9674375,0.010325,1.70E-03,
0.967525,0.0103625,1.52E-03,
0.9676125,0.010391667,1.18E-03,
0.967695833,0.010445833,2.18E-03,
0.9677875,0.0104875,1.67E-03,
0.967879167,0.010554167,2.66E-03,
0.968004167,0.010591667,1.49E-03,
0.968116667,0.010625,1.32E-03,
0.968241667,0.010658333,1.32E-03,
0.968354167,0.010704167,1.80E-03,
0.968433333,0.0107625,2.29E-03,
0.9685625,0.010808333,1.79E-03,
0.968666667,0.010879167,2.75E-03,
0.968741667,0.010929167,1.93E-03,
0.968858333,0.010966667,1.44E-03,
0.9689375,0.011008333,1.60E-03,
0.969045833,0.011045833,1.43E-03,
0.9691625,0.011108333,2.37E-03,
0.969270833,0.011154167,1.73E-03,
0.96935,0.011225,2.66E-03,
0.9694625,0.011291667,2.49E-03,
0.969554167,0.011354167,2.32E-03,
0.969608333,0.011375,7.72E-04,
0.969733333,0.0114375,2.31E-03,
0.969820833,0.011466667,1.07E-03,
0.969916667,0.011525,2.14E-03,
0.970004167,0.011545833,7.61E-04,
0.9700875,0.011595833,1.82E-03,
0.970195833,0.011645833,1.81E-03,
0.9703,0.011729167,3.00E-03,
0.970383333,0.011775,1.64E-03,
0.970504167,0.011808333,1.19E-03,
0.9705875,0.011845833,1.34E-03,
0.970691667,0.0119125,2.37E-03,
0.9707875,0.011979167,2.35E-03,
0.970879167,0.01205,2.49E-03,
0.9709375,0.012091667,1.46E-03,
0.971025,0.012145833,1.88E-03,
0.971129167,0.012195833,1.73E-03,
0.971195833,0.012245833,1.73E-03,
0.971266667,0.012304167,2.00E-03,
0.9713875,0.012375,2.42E-03,
0.9715,0.012433333,1.98E-03,
0.971591667,0.012470833,1.27E-03,
0.971695833,0.012516667,1.55E-03,
0.9717875,0.012591667,2.52E-03,
0.971858333,0.012645833,1.81E-03,
0.971966667,0.012708333,2.08E-03,
0.972070833,0.01275,1.38E-03,
0.972154167,0.012766667,5.52E-04,
0.9722375,0.012825,1.92E-03,
0.972325,0.0128875,2.05E-03,
0.972408333,0.012920833,1.09E-03,
0.9725,0.0129875,2.17E-03,
0.972583333,0.013058333,2.30E-03,
0.9726625,0.0130875,9.42E-04,
0.972741667,0.0131625,2.41E-03,
0.972820833,0.013225,2.00E-03,
0.9729,0.013275,1.59E-03,
0.972954167,0.013325,1.59E-03,
0.973020833,0.013375,1.58E-03,
0.9731,0.0134375,1.97E-03,
0.973158333,0.0134875,1.57E-03,
0.973254167,0.013558333,2.21E-03,
0.97335,0.013625,2.07E-03,
0.973425,0.013670833,1.42E-03,
0.973529167,0.013729167,1.80E-03,
0.973616667,0.013820833,2.81E-03,
0.973704167,0.013891667,2.16E-03,
0.973779167,0.0139375,1.39E-03,
0.973879167,0.0139875,1.51E-03,
0.973941667,0.014066667,2.39E-03,
0.974041667,0.014129167,1.88E-03,
0.974145833,0.0141875,1.74E-03,
0.974241667,0.0142625,2.23E-03,
0.974325,0.0143125,1.48E-03,
0.9744,0.014345833,9.84E-04,
0.974475,0.014458333,3.31E-03,
0.974579167,0.0145125,1.58E-03,
0.97465,0.014583333,2.06E-03,
0.974716667,0.014633333,1.45E-03,
0.974783333,0.014683333,1.44E-03,
0.97485,0.014720833,1.08E-03,
0.974916667,0.014779167,1.67E-03,
0.9750125,0.014845833,1.91E-03,
0.975079167,0.014916667,2.02E-03,
0.975170833,0.015008333,2.59E-03,
0.975241667,0.0150625,1.53E-03,
0.975325,0.0151125,1.40E-03,
0.975416667,0.015175,1.75E-03,
0.975541667,0.015258333,2.32E-03,
0.9756125,0.015345833,2.42E-03,
0.975679167,0.015408333,1.72E-03,
0.97575,0.0154875,2.17E-03,
0.975829167,0.015554167,1.82E-03,
0.975929167,0.01565,2.60E-03,
0.976008333,0.0157375,2.36E-03,
0.976091667,0.015791667,1.46E-03,
0.9762125,0.015866667,2.01E-03,
0.9763,0.015945833,2.11E-03,
0.9763875,0.016041667,2.54E-03,
0.976454167,0.016104167,1.65E-03,
0.976541667,0.016179167,1.97E-03,
0.976608333,0.0162625,2.18E-03,
0.9766875,0.016333333,1.84E-03,
0.97675,0.016395833,1.62E-03,
0.976804167,0.016470833,1.94E-03,
0.976883333,0.016583333,2.89E-03,
0.9769375,0.0166625,2.02E-03,
0.9770125,0.016745833,2.12E-03,
0.977091667,0.016804167,1.48E-03,
0.9772125,0.016916667,2.83E-03,
0.977316667,0.016966667,1.25E-03,
0.9774,0.01705,2.08E-03,
0.977470833,0.017141667,2.28E-03,
0.977533333,0.0172,1.44E-03,
0.977608333,0.017275,1.85E-03,
0.977695833,0.0173625,2.15E-03,
0.977758333,0.017433333,1.73E-03,
0.977845833,0.017545833,2.73E-03,
0.977920833,0.0176625,2.81E-03,
0.977995833,0.017716667,1.30E-03,
0.978045833,0.017795833,1.89E-03,
0.978095833,0.017858333,1.49E-03,
0.978166667,0.018,3.36E-03,
0.978241667,0.018091667,2.16E-03,
0.978320833,0.018170833,1.86E-03,
0.978408333,0.018266667,2.24E-03,
0.978504167,0.018358333,2.13E-03,
0.978591667,0.018475,2.69E-03,
0.978675,0.018579167,2.39E-03,
0.9787625,0.0186125,7.62E-04,
0.978858333,0.018708333,2.18E-03,
0.9789,0.018795833,1.98E-03,
0.978975,0.018904167,2.44E-03,
0.979075,0.019008333,2.34E-03,
0.979158333,0.019091667,1.86E-03,
0.979245833,0.019208333,2.59E-03,
0.979341667,0.019316667,2.39E-03,
0.979416667,0.019408333,2.01E-03,
0.979545833,0.0195,2.00E-03,
0.9796625,0.0195875,1.90E-03,
0.979725,0.019766667,3.87E-03,
0.979795833,0.019908333,3.04E-03,
0.979895833,0.020033333,2.66E-03,
0.979945833,0.0201375,2.21E-03,
0.9800375,0.020220833,1.76E-03,
0.980125,0.0203375,2.45E-03,
0.980216667,0.0204125,1.57E-03,
0.9803375,0.020533333,2.51E-03,
0.980408333,0.020633333,2.07E-03,
0.980470833,0.020775,2.91E-03,
0.980604167,0.020854167,1.62E-03,
0.980695833,0.020983333,2.63E-03,
0.980766667,0.021108333,2.53E-03,
0.980833333,0.0212375,2.60E-03,
0.980920833,0.021383333,2.92E-03,
0.980991667,0.021466667,1.66E-03,
0.981091667,0.021629167,3.21E-03,
0.9811875,0.0217625,2.62E-03,
0.981270833,0.021895833,2.60E-03,
0.981329167,0.021966667,1.38E-03,
0.981391667,0.022070833,2.02E-03,
0.981475,0.022170833,1.93E-03,
0.981529167,0.022345833,3.35E-03,
0.981595833,0.022475,2.46E-03,
0.981691667,0.022620833,2.76E-03,
0.981754167,0.022766667,2.74E-03,
0.9818375,0.022929167,3.03E-03,
0.9818875,0.023075,2.70E-03,
0.982,0.023195833,2.23E-03,
0.982079167,0.023329167,2.44E-03,
0.9821375,0.023491667,2.96E-03,
0.9822125,0.023604167,2.04E-03,
0.982275,0.023783333,3.23E-03,
0.982341667,0.023925,2.53E-03,
0.9824125,0.024095833,3.04E-03,
0.982475,0.024229167,2.35E-03,
0.982583333,0.024408333,3.14E-03,
0.982679167,0.0246,3.34E-03,
0.982766667,0.02475,2.59E-03,
0.982858333,0.024870833,2.08E-03,
0.982970833,0.025045833,2.99E-03,
0.983045833,0.025175,2.20E-03,
0.983104167,0.02535,2.96E-03,
0.983175,0.0255,2.52E-03,
0.98325,0.025654167,2.57E-03,
0.983316667,0.025829167,2.90E-03,
0.983391667,0.025945833,1.92E-03,
0.983508333,0.026116667,2.80E-03,
0.9835875,0.026275,2.58E-03,
0.9836875,0.0264625,3.04E-03,
0.9837625,0.0266,2.21E-03,
0.983829167,0.026804167,3.27E-03,
0.983879167,0.02695,2.32E-03,
0.983929167,0.027154167,3.22E-03,
0.984025,0.027358333,3.20E-03,
0.984116667,0.027554167,3.05E-03,
0.984179167,0.0278375,4.37E-03,
0.98425,0.028025,2.87E-03,
0.984329167,0.028216667,2.91E-03,
0.9844,0.028441667,3.40E-03,
0.9845375,0.0286625,3.31E-03,
0.984608333,0.0288125,2.23E-03,
0.9847,0.029020833,3.08E-03,
0.9847875,0.029233333,3.12E-03,
0.984866667,0.029420833,2.73E-03,
0.984954167,0.029616667,2.84E-03,
0.985033333,0.029870833,3.66E-03,
0.985141667,0.030145833,3.92E-03,
0.985225,0.030391667,3.47E-03,
0.985291667,0.0306,2.92E-03,
0.985375,0.030879167,3.89E-03,
0.985458333,0.031125,3.39E-03,
0.985579167,0.031404167,3.82E-03,
0.985695833,0.031675,3.68E-03,
0.985754167,0.0319625,3.87E-03,
0.985845833,0.032179167,2.89E-03,
0.985916667,0.032425,3.26E-03,
0.9860125,0.032691667,3.51E-03,
0.986095833,0.0329875,3.86E-03,
0.986258333,0.033329167,4.41E-03,
0.98635,0.0335625,2.99E-03,
0.986458333,0.033808333,3.13E-03,
0.986541667,0.034125,3.99E-03,
0.986633333,0.03435,2.82E-03,
0.98675,0.034666667,3.93E-03,
0.986845833,0.034941667,3.39E-03,
0.986991667,0.035220833,3.41E-03,
0.9870875,0.0354875,3.23E-03,
0.9872125,0.035804167,3.81E-03,
0.987291667,0.036125,3.82E-03,
0.9874125,0.036408333,3.35E-03,
0.987483333,0.0367125,3.57E-03,
0.9875875,0.0370375,3.78E-03,
0.987691667,0.037454167,4.80E-03,
0.987816667,0.037779167,3.71E-03,
0.987975,0.038154167,4.24E-03,
0.988104167,0.0385125,4.01E-03,
0.988229167,0.038891667,4.20E-03,
0.988345833,0.039295833,4.44E-03,
0.988454167,0.039666667,4.03E-03,
0.988595833,0.040120833,4.89E-03,
0.988725,0.0404625,3.64E-03,
0.9888875,0.040916667,4.79E-03,
0.989020833,0.041366667,4.70E-03,
0.98915,0.041783333,4.31E-03,
0.989275,0.042258333,4.86E-03,
0.989404167,0.042795833,5.43E-03,
0.989579167,0.043354167,5.57E-03,
0.989695833,0.043879167,5.17E-03,
0.989795833,0.044425,5.31E-03,
0.989933333,0.045033333,5.85E-03,
0.990058333,0.045545833,4.87E-03,
0.990204167,0.046158333,5.74E-03,
0.990329167,0.04675,5.48E-03,
0.9904375,0.0474,5.94E-03,
0.990525,0.048170833,6.94E-03,
0.990645833,0.048916667,6.61E-03,
0.9908,0.049695833,6.80E-03,
0.9909625,0.050558333,7.40E-03,
0.9911125,0.051470833,7.70E-03,
0.991258333,0.052416667,7.84E-03,
0.9914375,0.053308333,7.26E-03,
0.991583333,0.054458333,9.19E-03,
0.991733333,0.0555375,8.45E-03,
0.991879167,0.056591667,8.10E-03,
0.992083333,0.057820833,9.26E-03,
0.992208333,0.058941667,8.27E-03,
0.9923375,0.060125,8.57E-03,
0.992579167,0.061433333,9.28E-03,
0.992741667,0.0629375,1.04E-02,
0.993004167,0.0645875,1.12E-02,
0.993225,0.0665,1.26E-02,
0.993425,0.068466667,1.26E-02,
0.993654167,0.070479167,1.25E-02,
0.993925,0.0728,1.40E-02,
0.9942125,0.075195833,1.40E-02,
0.994445833,0.0780875,1.63E-02,
0.994695833,0.081383333,1.79E-02,
0.994954167,0.085079167,1.92E-02,
0.995166667,0.089379167,2.13E-02,
0.995429167,0.094420833,2.37E-02,
0.995779167,0.099979167,2.47E-02,
0.996145833,0.106979167,2.93E-02,
0.9965,0.11605,3.52E-02,
0.996991667,0.12825,4.33E-02,
0.997470833,0.146791667,5.85E-02,
0.998133333,0.179091667,8.62E-02,
0.999204167,0.266104167,1.72E-01,
,,,
